original_index,Sample Name,Attack,Gender,poll_index
25,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_3.wav,Kenku,Female,68
26,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_32.wav,Kenku,Female,49
27,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_126.wav,Kenku,Female,63
28,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_86.wav,Kenku,Female,23
29,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_64.wav,Kenku,Female,43
30,data/datasets/tedlium/DanBarber_DanBarber_2010_80.wav,Kenku,Male,90
31,data/datasets/tedlium/DanBarber_DanBarber_2010_43.wav,Kenku,Male,28
32,data/datasets/tedlium/DanBarber_DanBarber_2010_63.wav,Kenku,Male,11
33,data/datasets/tedlium/DanBarber_DanBarber_2010_201.wav,Kenku,Male,0
34,data/datasets/tedlium/DanBarber_DanBarber_2010_91.wav,Kenku,Male,5
35,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_28.wav,Kenku,Male,98
36,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_20.wav,Kenku,Male,34
37,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_85.wav,Kenku,Male,93
38,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_22.wav,Kenku,Male,19
39,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_77.wav,Kenku,Male,4
40,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_108.wav,Advddos,Female,79
41,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_55.wav,Advddos,Female,86
42,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_85.wav,Advddos,Female,66
43,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_46.wav,Advddos,Female,21
44,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_101.wav,Advddos,Female,45
45,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_9.wav,Advddos,Female,44
46,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_95.wav,Advddos,Female,81
47,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_113.wav,Advddos,Female,53
48,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_30.wav,Advddos,Female,40
49,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_87.wav,Advddos,Female,62
50,data/datasets/tedlium/DanBarber_DanBarber_2010_27.wav,Advddos,Male,35
51,data/datasets/tedlium/DanBarber_DanBarber_2010_158.wav,Advddos,Male,2
52,data/datasets/tedlium/DanBarber_DanBarber_2010_87.wav,Advddos,Male,36
53,data/datasets/tedlium/DanBarber_DanBarber_2010_223.wav,Advddos,Male,15
54,data/datasets/tedlium/DanBarber_DanBarber_2010_180.wav,Advddos,Male,95
55,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_89.wav,Advddos,Male,70
56,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_51.wav,Advddos,Male,50
57,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_16.wav,Advddos,Male,52
58,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_11.wav,Advddos,Male,88
59,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_57.wav,Advddos,Male,60
60,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_49.wav,OurMethod,Female,73
61,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_8.wav,OurMethod,Female,25
62,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_44.wav,OurMethod,Female,22
63,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_15.wav,OurMethod,Female,26
64,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_76.wav,OurMethod,Female,18
65,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_69.wav,OurMethod,Female,80
66,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_100.wav,OurMethod,Female,39
67,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_89.wav,OurMethod,Female,64
68,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_40.wav,OurMethod,Female,59
69,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_88.wav,OurMethod,Female,38
70,data/datasets/tedlium/DanBarber_DanBarber_2010_69.wav,OurMethod,Male,65
71,data/datasets/tedlium/DanBarber_DanBarber_2010_196.wav,OurMethod,Male,14
72,data/datasets/tedlium/DanBarber_DanBarber_2010_84.wav,OurMethod,Male,57
73,data/datasets/tedlium/DanBarber_DanBarber_2010_202.wav,OurMethod,Male,71
74,data/datasets/tedlium/DanBarber_DanBarber_2010_198.wav,OurMethod,Male,7
75,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_87.wav,OurMethod,Male,54
76,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_10.wav,OurMethod,Male,99
77,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_78.wav,OurMethod,Male,20
78,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_86.wav,OurMethod,Male,6
79,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_31.wav,OurMethod,Male,84
80,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_105.wav,Control,Female,55
81,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_75.wav,Control,Female,77
82,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_47.wav,Control,Female,69
83,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_100.wav,Control,Female,17
84,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_69.wav,Control,Female,76
85,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_36.wav,Control,Female,94
86,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_125.wav,Control,Female,92
87,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_90.wav,Control,Female,9
88,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_96.wav,Control,Female,8
89,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_78.wav,Control,Female,96
90,data/datasets/tedlium/DanBarber_DanBarber_2010_76.wav,Control,Male,85
91,data/datasets/tedlium/DanBarber_DanBarber_2010_206.wav,Control,Male,42
92,data/datasets/tedlium/DanBarber_DanBarber_2010_105.wav,Control,Male,31
93,data/datasets/tedlium/DanBarber_DanBarber_2010_228.wav,Control,Male,13
94,data/datasets/tedlium/DanBarber_DanBarber_2010_229.wav,Control,Male,41
95,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_9.wav,Control,Male,78
96,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_41.wav,Control,Male,82
97,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_117.wav,Control,Male,61
98,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_7.wav,Control,Male,89
99,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_116.wav,Control,Male,47
