,Sample Name,Gender,Attack,sample_index,poll_index
4,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_57.wav,Female,Kenku,4,77
5,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_26.wav,Female,OurMethod,5,78
14,data/datasets/tedlium/DanBarber_DanBarber_2010_8.wav,Male,OurMethod,14,79
0,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_35.wav,Female,OurMethod,0,80
7,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_22.wav,Female,Control,7,81
17,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_49.wav,Male,OurMethod,17,82
12,data/datasets/tedlium/DanBarber_DanBarber_2010_107.wav,Male,Advddos,12,83
1,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_3.wav,Female,Control,1,84
2,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_66.wav,Female,OurMethod,2,85
15,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_18.wav,Male,Kenansvile,15,86
8,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_118.wav,Female,Kenansvile,8,87
13,data/datasets/tedlium/DanBarber_DanBarber_2010_10.wav,Male,Advddos,13,88
19,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_8.wav,Male,Advddos,19,89
3,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_61.wav,Female,Kenku,3,90
15,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_18.wav,Male,Kenku,15,91
9,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_91.wav,Female,OurMethod,9,92
10,data/datasets/tedlium/DanBarber_DanBarber_2010_24.wav,Male,Advddos,10,93
9,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_91.wav,Female,Kenansvile,9,94
10,data/datasets/tedlium/DanBarber_DanBarber_2010_24.wav,Male,OurMethod,10,95
2,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_66.wav,Female,Advddos,2,96
3,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_61.wav,Female,Advddos,3,97
18,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_103.wav,Male,Advddos,18,98
19,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_8.wav,Male,OurMethod,19,99
